ts,currency,impact,event
2023-01-02 02:52:36,USD,low,GDP
2023-01-02 08:59:25,EUR,medium,Rate Decision
2023-01-03 06:14:26,EUR,medium,CPI
2023-01-03 06:26:16,EUR,low,GDP
2023-01-03 07:02:42,USD,medium,PMI
2023-01-03 07:03:53,USD,low,Jobs
2023-01-03 07:19:29,EUR,medium,Retail Sales
2023-01-03 09:13:35,USD,high,GDP
2023-01-03 15:44:31,EUR,high,NFP
2023-01-04 08:16:51,USD,high,Rate Decision
2023-01-04 18:13:34,EUR,low,PMI
2023-01-05 09:07:36,USD,medium,Rate Decision
2023-01-05 11:11:23,EUR,low,NFP
2023-01-05 16:21:34,EUR,medium,Retail Sales
2023-01-05 19:03:38,USD,medium,Rate Decision
2023-01-06 03:33:18,USD,high,Retail Sales
2023-01-06 12:21:14,USD,low,Retail Sales
2023-01-06 16:06:42,EUR,medium,Rate Decision
2023-01-06 19:54:59,EUR,medium,Jobs
2023-01-06 20:40:10,USD,low,NFP
2023-01-06 23:32:09,EUR,low,GDP
2023-01-07 08:15:28,EUR,medium,PMI
2023-01-08 17:06:50,EUR,low,NFP
2023-01-08 19:55:50,EUR,medium,NFP
2023-01-08 22:11:28,EUR,high,Jobs
2023-01-09 01:25:00,EUR,low,Retail Sales
2023-01-09 15:49:19,USD,medium,NFP
2023-01-09 17:54:39,EUR,low,GDP
2023-01-09 23:37:35,EUR,low,PMI
2023-01-10 01:01:03,EUR,high,PMI
2023-01-10 04:46:26,USD,low,NFP
2023-01-10 04:52:08,EUR,medium,GDP
2023-01-10 09:02:39,USD,low,Retail Sales
2023-01-10 18:34:01,USD,medium,Jobs
2023-01-11 05:35:21,USD,medium,GDP
2023-01-11 07:36:04,EUR,low,PMI
2023-01-11 08:14:51,USD,low,Jobs
2023-01-11 13:41:16,USD,low,Retail Sales
2023-01-11 22:05:03,EUR,low,GDP
2023-01-12 01:47:25,EUR,high,Jobs
2023-01-12 05:19:44,EUR,high,Retail Sales
2023-01-12 18:15:17,EUR,medium,Rate Decision
2023-01-12 19:12:58,USD,low,Rate Decision
2023-01-13 01:21:33,USD,low,PMI
2023-01-13 05:40:28,EUR,medium,Rate Decision
2023-01-13 08:54:49,EUR,low,PMI
2023-01-13 21:38:30,USD,medium,PMI
2023-01-14 03:15:36,EUR,medium,CPI
2023-01-14 09:59:59,USD,low,CPI
2023-01-14 20:53:46,USD,low,NFP
2023-01-14 21:58:42,USD,medium,Retail Sales
2023-01-15 00:48:27,USD,medium,Jobs
2023-01-15 04:33:24,EUR,high,CPI
2023-01-15 05:22:23,EUR,low,Jobs
2023-01-15 05:41:27,EUR,low,Retail Sales
2023-01-15 05:56:24,EUR,low,Rate Decision
2023-01-15 07:11:38,EUR,low,NFP
2023-01-15 14:29:17,EUR,low,Retail Sales
2023-01-15 15:54:52,EUR,low,Retail Sales
2023-01-15 21:03:47,EUR,low,NFP
2023-01-16 03:51:18,EUR,low,NFP
2023-01-16 10:49:37,EUR,low,Rate Decision
2023-01-16 13:11:59,EUR,medium,Rate Decision
2023-01-16 17:34:53,USD,medium,Rate Decision
2023-01-16 19:18:21,USD,low,CPI
2023-01-16 23:26:09,EUR,low,PMI
2023-01-17 12:34:57,EUR,medium,GDP
2023-01-18 00:47:42,EUR,low,NFP
2023-01-18 00:58:22,USD,low,PMI
2023-01-18 03:31:52,EUR,medium,Retail Sales
2023-01-18 08:20:21,USD,low,Jobs
2023-01-18 10:25:41,EUR,medium,Jobs
2023-01-18 10:35:07,USD,low,GDP
2023-01-18 12:03:42,EUR,low,GDP
2023-01-18 18:59:28,USD,low,Rate Decision
2023-01-19 02:13:07,EUR,low,CPI
2023-01-19 02:22:25,EUR,medium,GDP
2023-01-19 08:09:46,USD,medium,NFP
2023-01-19 12:16:22,USD,low,Jobs
2023-01-19 13:27:36,USD,medium,GDP
2023-01-20 02:17:53,EUR,low,Rate Decision
2023-01-20 07:01:06,EUR,medium,Jobs
2023-01-20 10:23:42,EUR,medium,Retail Sales
2023-01-20 18:51:56,USD,low,Retail Sales
2023-01-20 19:12:25,EUR,low,Jobs
2023-01-20 19:23:48,USD,medium,Retail Sales
2023-01-21 07:24:54,EUR,medium,Rate Decision
2023-01-21 09:43:30,EUR,medium,PMI
2023-01-21 16:40:59,EUR,low,GDP
2023-01-21 19:41:53,EUR,medium,PMI
2023-01-22 08:36:34,EUR,high,NFP
2023-01-22 10:00:28,USD,low,Rate Decision
2023-01-22 10:17:36,EUR,medium,Rate Decision
2023-01-22 16:49:56,EUR,medium,Rate Decision
2023-01-23 00:00:52,EUR,low,Rate Decision
2023-01-23 23:32:33,EUR,low,PMI
2023-01-24 07:09:11,EUR,low,Retail Sales
2023-01-24 16:17:35,USD,medium,Rate Decision
2023-01-24 17:00:05,EUR,high,GDP
2023-01-24 17:47:49,USD,low,NFP
2023-01-24 20:06:25,USD,medium,PMI
2023-01-25 01:03:40,EUR,medium,NFP
2023-01-25 04:31:02,USD,low,Rate Decision
2023-01-25 09:00:13,EUR,low,Jobs
2023-01-25 12:03:19,EUR,high,Rate Decision
2023-01-25 19:05:19,USD,low,NFP
2023-01-26 00:41:13,USD,medium,Rate Decision
2023-01-26 02:35:51,EUR,low,PMI
2023-01-26 06:56:50,USD,medium,Rate Decision
2023-01-26 21:08:24,USD,low,Retail Sales
2023-01-27 16:39:56,EUR,low,Jobs
2023-01-27 19:19:41,EUR,medium,Jobs
2023-01-28 05:01:16,USD,medium,Retail Sales
2023-01-28 08:06:10,EUR,high,PMI
2023-01-28 10:13:08,USD,low,Jobs
2023-01-28 14:23:53,EUR,low,Jobs
2023-01-28 15:27:47,USD,medium,PMI
2023-01-28 15:45:39,EUR,low,GDP
2023-01-28 16:08:36,USD,medium,Rate Decision
2023-01-28 16:29:58,EUR,low,Retail Sales
2023-01-28 18:40:17,USD,low,Jobs
2023-01-28 20:37:44,USD,medium,Jobs
2023-01-29 03:09:03,USD,medium,Rate Decision
2023-01-29 05:22:10,EUR,low,PMI
2023-01-29 12:05:56,EUR,low,GDP
2023-01-29 20:37:38,USD,low,Jobs
2023-01-30 07:56:00,EUR,medium,Retail Sales
2023-01-30 12:11:14,USD,low,Rate Decision
2023-01-30 18:01:12,USD,medium,GDP
2023-01-30 18:08:27,USD,medium,GDP
2023-01-31 05:22:13,USD,low,CPI
2023-01-31 09:26:52,USD,medium,PMI
2023-01-31 10:56:28,EUR,medium,Retail Sales
2023-01-31 11:29:26,USD,low,Rate Decision
2023-01-31 13:13:29,EUR,medium,CPI
2023-01-31 18:44:40,USD,low,NFP
2023-02-01 01:08:52,EUR,high,Jobs
2023-02-01 06:33:10,EUR,low,PMI
2023-02-01 18:20:19,USD,low,Retail Sales
2023-02-01 20:44:35,USD,low,GDP
2023-02-01 21:42:11,EUR,medium,Retail Sales
2023-02-02 03:45:26,EUR,high,Retail Sales
2023-02-02 07:57:55,EUR,low,GDP
2023-02-02 11:45:25,USD,low,Retail Sales
2023-02-02 16:29:00,USD,low,GDP
2023-02-02 22:20:09,USD,low,NFP
2023-02-03 06:08:55,EUR,medium,GDP
2023-02-03 12:03:10,EUR,medium,GDP
2023-02-03 18:24:06,EUR,medium,CPI
2023-02-03 18:48:32,EUR,low,GDP
2023-02-03 20:09:26,USD,low,NFP
2023-02-04 15:11:58,USD,low,Rate Decision
2023-02-05 07:47:26,EUR,high,NFP
2023-02-05 17:50:24,EUR,medium,Jobs
2023-02-05 22:15:15,EUR,low,Rate Decision
2023-02-05 23:23:43,USD,low,CPI
2023-02-06 10:14:00,EUR,low,PMI
2023-02-06 11:09:14,EUR,low,CPI
2023-02-06 13:29:10,EUR,high,CPI
2023-02-06 23:16:24,USD,medium,PMI
2023-02-07 04:46:58,USD,high,Retail Sales
2023-02-07 07:15:15,EUR,medium,NFP
2023-02-07 11:16:33,USD,medium,CPI
2023-02-07 11:17:11,USD,low,GDP
2023-02-07 21:56:35,USD,medium,NFP
2023-02-08 02:06:21,USD,high,Rate Decision
2023-02-08 09:36:07,USD,low,GDP
2023-02-08 15:53:48,EUR,low,Rate Decision
2023-02-08 16:08:27,EUR,low,GDP
2023-02-08 16:33:01,USD,low,CPI
2023-02-08 16:41:47,EUR,low,GDP
2023-02-08 18:23:16,EUR,low,NFP
2023-02-08 20:00:08,USD,medium,Jobs
2023-02-09 20:47:28,USD,low,NFP
2023-02-10 08:07:23,EUR,medium,Retail Sales
2023-02-10 16:33:06,USD,medium,PMI
2023-02-10 19:47:46,EUR,low,CPI
2023-02-10 22:57:28,USD,high,GDP
2023-02-11 02:02:33,EUR,low,GDP
2023-02-11 06:32:19,USD,low,CPI
2023-02-11 08:00:45,USD,medium,Jobs
2023-02-11 15:18:33,USD,high,GDP
2023-02-11 16:31:23,EUR,medium,CPI
2023-02-11 22:05:03,EUR,high,Jobs
2023-02-12 04:08:26,USD,medium,PMI
2023-02-12 07:20:27,EUR,low,NFP
2023-02-12 10:13:07,EUR,low,Retail Sales
2023-02-12 14:14:35,USD,low,GDP
2023-02-12 18:39:17,USD,high,Jobs
2023-02-12 21:50:50,USD,low,Retail Sales
2023-02-12 23:33:29,USD,medium,GDP
2023-02-13 03:59:35,EUR,low,Jobs
2023-02-13 18:52:58,EUR,high,Retail Sales
2023-02-13 22:45:50,EUR,medium,Jobs
2023-02-14 03:29:47,USD,low,CPI
2023-02-14 08:54:18,USD,medium,GDP
2023-02-14 09:06:47,EUR,medium,CPI
2023-02-15 10:58:47,EUR,medium,CPI
2023-02-15 15:21:16,EUR,medium,GDP
2023-02-15 17:40:08,EUR,high,Retail Sales
2023-02-15 20:54:24,EUR,medium,NFP
2023-02-16 00:01:32,EUR,low,PMI
2023-02-16 00:41:03,USD,medium,GDP
2023-02-16 02:27:49,USD,low,NFP
2023-02-16 03:04:59,EUR,low,CPI
2023-02-16 14:21:02,USD,medium,PMI
2023-02-16 17:26:46,USD,low,CPI
2023-02-17 00:46:03,USD,low,Rate Decision
2023-02-17 17:21:04,USD,low,Retail Sales
2023-02-17 20:07:01,USD,high,Rate Decision
2023-02-17 21:27:23,EUR,low,CPI
2023-02-18 01:49:44,USD,low,NFP
2023-02-18 03:40:57,USD,medium,GDP
2023-02-18 07:04:09,EUR,high,Rate Decision
2023-02-18 19:04:54,EUR,low,Jobs
2023-02-19 11:27:42,EUR,low,NFP
2023-02-19 22:26:52,EUR,low,CPI
2023-02-20 12:50:06,USD,medium,CPI
2023-02-21 09:31:00,USD,low,Retail Sales
2023-02-21 17:18:54,USD,low,NFP
2023-02-21 22:19:04,EUR,low,Retail Sales
2023-02-22 03:22:10,USD,low,Rate Decision
2023-02-22 15:29:24,USD,low,CPI
2023-02-22 17:03:16,USD,low,NFP
2023-02-22 18:35:31,USD,low,Retail Sales
2023-02-23 02:31:57,USD,high,Rate Decision
2023-02-23 06:29:15,USD,low,Jobs
2023-02-23 12:58:13,USD,low,GDP
2023-02-23 18:14:25,USD,high,NFP
2023-02-24 02:33:58,EUR,medium,Retail Sales
2023-02-24 03:36:07,EUR,low,CPI
2023-02-24 09:53:36,USD,medium,CPI
2023-02-24 12:08:39,USD,low,GDP
2023-02-24 20:09:42,EUR,low,Rate Decision
2023-02-25 16:09:51,EUR,medium,NFP
2023-02-25 21:37:10,EUR,low,PMI
2023-02-25 22:59:27,USD,low,Retail Sales
2023-02-26 11:54:25,EUR,low,CPI
2023-02-26 17:32:32,EUR,medium,PMI
2023-02-26 19:34:25,EUR,low,PMI
2023-02-27 01:35:23,USD,medium,NFP
2023-02-27 01:42:11,EUR,low,NFP
2023-02-27 06:26:36,EUR,medium,Rate Decision
2023-02-27 11:17:41,USD,low,Jobs
2023-02-27 18:26:38,USD,medium,Retail Sales
2023-02-27 22:56:59,USD,medium,GDP
2023-02-28 02:37:02,USD,medium,NFP
2023-02-28 02:51:08,EUR,medium,Retail Sales
2023-02-28 04:45:43,EUR,medium,CPI
2023-02-28 06:20:54,USD,low,PMI
