ts,currency,impact,event
2023-01-02 08:22:36+05:30,USD,low,GDP
2023-01-02 14:29:25+05:30,EUR,medium,Rate Decision
2023-01-03 11:44:26+05:30,EUR,medium,CPI
2023-01-03 11:56:16+05:30,EUR,low,GDP
2023-01-03 12:32:42+05:30,USD,medium,PMI
2023-01-03 12:33:53+05:30,USD,low,Jobs
2023-01-03 12:49:29+05:30,EUR,medium,Retail Sales
2023-01-03 14:43:35+05:30,USD,high,GDP
2023-01-03 21:14:31+05:30,EUR,high,NFP
2023-01-04 13:46:51+05:30,USD,high,Rate Decision
2023-01-04 23:43:34+05:30,EUR,low,PMI
2023-01-05 14:37:36+05:30,USD,medium,Rate Decision
2023-01-05 16:41:23+05:30,EUR,low,NFP
2023-01-05 21:51:34+05:30,EUR,medium,Retail Sales
2023-01-06 00:33:38+05:30,USD,medium,Rate Decision
2023-01-06 09:03:18+05:30,USD,high,Retail Sales
2023-01-06 17:51:14+05:30,USD,low,Retail Sales
2023-01-06 21:36:42+05:30,EUR,medium,Rate Decision
2023-01-07 01:24:59+05:30,EUR,medium,Jobs
2023-01-07 02:10:10+05:30,USD,low,NFP
2023-01-07 05:02:09+05:30,EUR,low,GDP
2023-01-07 13:45:28+05:30,EUR,medium,PMI
2023-01-08 22:36:50+05:30,EUR,low,NFP
2023-01-09 01:25:50+05:30,EUR,medium,NFP
2023-01-09 03:41:28+05:30,EUR,high,Jobs
2023-01-09 06:55:00+05:30,EUR,low,Retail Sales
2023-01-09 21:19:19+05:30,USD,medium,NFP
2023-01-09 23:24:39+05:30,EUR,low,GDP
2023-01-10 05:07:35+05:30,EUR,low,PMI
2023-01-10 06:31:03+05:30,EUR,high,PMI
2023-01-10 10:16:26+05:30,USD,low,NFP
2023-01-10 10:22:08+05:30,EUR,medium,GDP
2023-01-10 14:32:39+05:30,USD,low,Retail Sales
2023-01-11 00:04:01+05:30,USD,medium,Jobs
2023-01-11 11:05:21+05:30,USD,medium,GDP
2023-01-11 13:06:04+05:30,EUR,low,PMI
2023-01-11 13:44:51+05:30,USD,low,Jobs
2023-01-11 19:11:16+05:30,USD,low,Retail Sales
2023-01-12 03:35:03+05:30,EUR,low,GDP
2023-01-12 07:17:25+05:30,EUR,high,Jobs
2023-01-12 10:49:44+05:30,EUR,high,Retail Sales
2023-01-12 23:45:17+05:30,EUR,medium,Rate Decision
2023-01-13 00:42:58+05:30,USD,low,Rate Decision
2023-01-13 06:51:33+05:30,USD,low,PMI
2023-01-13 11:10:28+05:30,EUR,medium,Rate Decision
2023-01-13 14:24:49+05:30,EUR,low,PMI
2023-01-14 03:08:30+05:30,USD,medium,PMI
2023-01-14 08:45:36+05:30,EUR,medium,CPI
2023-01-14 15:29:59+05:30,USD,low,CPI
2023-01-15 02:23:46+05:30,USD,low,NFP
2023-01-15 03:28:42+05:30,USD,medium,Retail Sales
2023-01-15 06:18:27+05:30,USD,medium,Jobs
2023-01-15 10:03:24+05:30,EUR,high,CPI
2023-01-15 10:52:23+05:30,EUR,low,Jobs
2023-01-15 11:11:27+05:30,EUR,low,Retail Sales
2023-01-15 11:26:24+05:30,EUR,low,Rate Decision
2023-01-15 12:41:38+05:30,EUR,low,NFP
2023-01-15 19:59:17+05:30,EUR,low,Retail Sales
2023-01-15 21:24:52+05:30,EUR,low,Retail Sales
2023-01-16 02:33:47+05:30,EUR,low,NFP
2023-01-16 09:21:18+05:30,EUR,low,NFP
2023-01-16 16:19:37+05:30,EUR,low,Rate Decision
2023-01-16 18:41:59+05:30,EUR,medium,Rate Decision
2023-01-16 23:04:53+05:30,USD,medium,Rate Decision
2023-01-17 00:48:21+05:30,USD,low,CPI
2023-01-17 04:56:09+05:30,EUR,low,PMI
2023-01-17 18:04:57+05:30,EUR,medium,GDP
2023-01-18 06:17:42+05:30,EUR,low,NFP
2023-01-18 06:28:22+05:30,USD,low,PMI
2023-01-18 09:01:52+05:30,EUR,medium,Retail Sales
