ts_utc,date_utc,time_utc,volume,range_pips
2020-02-21 14:45:00+0000,2020-02-21,14:45,2967.5200000000023,28.6
2020-02-28 19:30:00+0000,2020-02-28,19:30,2134.2900000000086,34.6
2020-03-02 13:40:00+0000,2020-03-02,13:40,2671.6300000000215,29.2
2020-03-03 15:00:00+0000,2020-03-03,15:00,4092.3699999999862,60.8
2020-03-03 15:15:00+0000,2020-03-03,15:15,4066.0600000000527,36.5
2020-03-06 15:25:00+0000,2020-03-06,15:25,2925.350000000019,37.6
2020-03-09 01:45:00+0000,2020-03-09,01:45,1608.1100000000056,69.2
2020-03-09 01:50:00+0000,2020-03-09,01:50,4305.060000000007,86.4
2020-03-09 02:10:00+0000,2020-03-09,02:10,1694.0599999999902,36.8
2020-03-09 07:05:00+0000,2020-03-09,07:05,1673.020000000007,30.1
2020-03-09 07:50:00+0000,2020-03-09,07:50,960.6400000000164,27.4
2020-03-09 08:35:00+0000,2020-03-09,08:35,2248.639999999992,25.5
2020-03-09 13:40:00+0000,2020-03-09,13:40,2008.6500000000108,26.9
2020-03-09 13:45:00+0000,2020-03-09,13:45,3019.029999999989,58.7
2020-03-09 13:50:00+0000,2020-03-09,13:50,2981.560000000004,53.3
2020-03-09 14:00:00+0000,2020-03-09,14:00,2465.5600000000113,32.4
2020-03-09 14:05:00+0000,2020-03-09,14:05,2193.369999999999,32.2
2020-03-09 16:30:00+0000,2020-03-09,16:30,2015.4800000000157,27.5
2020-03-09 18:10:00+0000,2020-03-09,18:10,1169.4200000000094,25.8
2020-03-09 18:30:00+0000,2020-03-09,18:30,953.6100000000132,26.6
2020-03-10 12:05:00+0000,2020-03-10,12:05,2015.810000000004,26.2
2020-03-10 15:55:00+0000,2020-03-10,15:55,2515.3500000000085,28.2
2020-03-10 16:15:00+0000,2020-03-10,16:15,2178.0699999999983,26.9
2020-03-12 08:20:00+0000,2020-03-12,08:20,1176.1600000000126,29.8
2020-03-12 12:25:00+0000,2020-03-12,12:25,2167.209999999994,40.1
2020-03-12 12:45:00+0000,2020-03-12,12:45,3009.5399999999895,80.1
2020-03-12 12:50:00+0000,2020-03-12,12:50,2504.1500000000183,52.6
2020-03-12 12:55:00+0000,2020-03-12,12:55,2433.400000000001,52.2
2020-03-12 13:00:00+0000,2020-03-12,13:00,2151.3499999999704,29.4
2020-03-12 13:05:00+0000,2020-03-12,13:05,1690.0500000000145,27.4
2020-03-12 13:15:00+0000,2020-03-12,13:15,1624.9200000000046,29.7
2020-03-12 13:25:00+0000,2020-03-12,13:25,1137.689999999999,29.0
2020-03-12 13:40:00+0000,2020-03-12,13:40,1231.6000000000054,28.3
2020-03-12 13:45:00+0000,2020-03-12,13:45,1410.8700000000067,25.6
2020-03-12 14:00:00+0000,2020-03-12,14:00,2035.9300000000185,41.1
2020-03-12 14:05:00+0000,2020-03-12,14:05,2441.6299999999856,31.4
2020-03-12 14:10:00+0000,2020-03-12,14:10,2668.8800000000033,36.4
2020-03-12 14:20:00+0000,2020-03-12,14:20,2607.650000000019,33.0
2020-03-12 14:30:00+0000,2020-03-12,14:30,1529.2300000000168,28.2
2020-03-12 15:15:00+0000,2020-03-12,15:15,2010.8900000000276,28.4
2020-03-12 16:00:00+0000,2020-03-12,16:00,1991.5400000000047,27.9
2020-03-12 16:10:00+0000,2020-03-12,16:10,1998.140000000013,28.6
2020-03-12 16:50:00+0000,2020-03-12,16:50,1998.3499999999924,46.4
2020-03-12 16:55:00+0000,2020-03-12,16:55,2961.269999999989,48.0
2020-03-12 17:10:00+0000,2020-03-12,17:10,1704.0100000000025,26.9
2020-03-12 17:25:00+0000,2020-03-12,17:25,1430.8399999999726,26.7
2020-03-12 18:05:00+0000,2020-03-12,18:05,724.1600000000071,27.0
2020-03-12 18:25:00+0000,2020-03-12,18:25,918.950000000002,30.5
2020-03-12 20:25:00+0000,2020-03-12,20:25,871.2600000000034,35.3
